url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/10/18/san-antonio-approves-plan-alamo-plaza-overhaul/,ROBERT INKS,San Antonio approves plan for Alamo Plaza overhaul,"OCT. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/17/texas-rep-pat-fallon-apologizes-rep-mary-gonzalez-after-mocking-her-se/,JULIÁN AGUILAR,Rep. Mary González says she's taking the high road after Rep. Pat Fallon mocked her sexuality,"OCT. 17, 2018",2018-10-17
https://www.texastribune.org/2018/10/17/family-border-apprehensions-hit-new-record-trump-threatens-new-crackdo/,THE WASHINGTON POST,Record number of families crossing U.S. border as Trump threatens new crackdown,"OCT. 17, 2018",2018-10-17
https://www.texastribune.org/2018/10/17/donald-trump-attack-beto-orourke-praise-ted-cruz-debate-texas/,BOBBY BLANCHARD,"Donald Trump: Beto O'Rourke ""is a flake""","OCT. 17, 2018",2018-10-17
https://www.texastribune.org/2018/10/23/Sarah-Davis-Allison-Lami-Sawyer-moderate/,MATT ZDUN,"""Dorky"" moderate Allison Lami Sawyer tries to unseat ""rowdy"" moderate state Rep. Sarah Davis","OCT. 23, 2018",2018-10-23
https://www.texastribune.org/2018/10/18/foster-care-5th-circuit-order-reform/,EMMA PLATOFF,Federal appeals court finds Texas foster kids were endangered — but strikes down some attempts at reform,"OCT. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/22/ted-cruz-will-serve-full-senate-term-beto-orourke/,TEXAS TRIBUNE STAFF,Ted Cruz now says he'll serve a full term if re-elected to U.S. Senate,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/22/donald-trump-say-he-has-new-nickname-ted-cruz-beautiful-ted/,MATTHEW WATKINS,"Ahead of trip to Texas, Donald Trump uses a new nickname for Ted Cruz: ""Beautiful Ted""","OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/19/texas-joaquin-castro-jamal-khashoggi-washington-post/,ALEX SAMUELS,"Without citing evidence, Joaquin Castro says Jared Kushner may have played a role in the death of Jamal Khashoggi","OCT. 19, 2018",2018-10-19
https://www.texastribune.org/2018/10/19/study-family-separations-causing-mental-health-crisis-south-texas/,HANNAH WILEY,Study says family separations are causing a mental health crisis in the Rio Grande Valley,"OCT. 19, 2018",2018-10-19
https://www.texastribune.org/2018/10/19/ut-regents-report-sees-curtailed-role-for-system-administration/,SHANNON NAJMABADI,"""Eliminate 'top-down' initiatives"": UT regents' report sees curtailed role for system administration","OCT. 19, 2018",2018-10-19
