,url,outlet,Author,Date,Title,page_num
361,https://www.texastribune.org/2022/09/20/brent-webster-texas-bar-discipline/,Texas Tribune,JAMES BARRAGÁN,"SEPT. 20, 2022",Judge dismisses attempt to discipline Texas AG Ken Paxton’s top aide for trying to overturn the 2020 election,361
362,https://www.texastribune.org/2022/09/24/beto-orourke-texas-tribune-festival/,Texas Tribune,PATRICK SVITEK,"SEPT. 24, 2022","Beto O’Rourke shrugs off polling deficit, promises he won’t let down Democrats in South Texas",362
363,https://www.texastribune.org/2022/09/22/kamala-harris-texas-democratic-fundraiser/,Texas Tribune,PATRICK SVITEK,"SEPT. 22, 2022",Kamala Harris to headline Texas Democratic Party fundraiser one month before midterm election,363
364,https://www.texastribune.org/2022/09/24/liz-cheney-texas-tribune-festival/,Texas Tribune,MATTHEW CHOI,"SEPT. 24, 2022","Liz Cheney says she will do whatever it takes to keep Donald Trump from the White House, even if it means leaving the GOP",364
365,https://www.texastribune.org/2022/09/19/ronny-jackson-john-cornyn-ad-launch/,Texas Tribune,PATRICK SVITEK,"SEPT. 19, 2022","U.S. Rep. Ronny Jackson, prominent Trump ally, weighing U.S. Senate run in 2026",365
366,https://www.texastribune.org/2022/09/23/glenn-youngkin-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 23, 2022",Watch Glenn Youngkin speak at the 2022 Texas Tribune Festival,366
367,https://www.texastribune.org/2022/09/20/ken-paxton-says-not-to-trust-biden-administration-in-trump-investigati/,Texas Tribune,ZACH DESPART,"SEPT. 20, 2022",Texas Attorney General Ken Paxton tells court not to trust Biden in Trump records case,367
368,https://www.texastribune.org/2022/09/24/robert-gibbs-karl-rove-texas-tribune-festival/,Texas Tribune,PATRICK SVITEK,"SEPT. 24, 2022",Karl Rove says Texas’ abortion law is too extreme,368
369,https://www.texastribune.org/2022/09/22/migrant-busing-abbott-desantis/,Texas Tribune,JAMES BARRAGÁN,"SEPT. 22, 2022","Long the subject of rhetoric, migrants have now become props in political theater",369
370,https://www.texastribune.org/2022/09/23/dan-crenshaw-texas-tribune-festival/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 23, 2022",Republican Texas Congressman Dan Crenshaw takes aim at his own party’s “woke right” for stoking division,370
371,https://www.texastribune.org/2022/09/22/anthony-fauci-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Anthony Fauci speak at the 2022 Texas Tribune Festival,371
372,https://www.texastribune.org/2022/09/19/la-raza-unida-texas/,Texas Tribune,ALEXA URA,"SEPT. 19, 2022","At one last reunion, veterans of La Raza Unida political movement pass along their torch",372
373,https://www.texastribune.org/2022/09/22/michael-drake-j-b-milliken-texas-tribune-festival/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 22, 2022",Watch Michael V. Drake and J.B. Milliken speak at the 2022 Texas Tribune Festival,373
